CURclassMarker,numTestsEstimated,doneTests,numCrashes,numCandidates,numRaces,time,memory,testMode,not_tested, false_positive, benign, order-dependent, violating, harmful
Running Actul test environment
CURclassMarker,1607,80,15,330,320,0.777,35,i,10,0,301,19,0,0
CURclassMarker,1607,81,15,330,320,0.786,35,i,10,0,301,19,0,0
CURclassMarker,1607,82,15,330,320,0.795,35,i,10,0,301,19,0,0
CURclassMarker,1607,83,15,330,320,0.804,35,i,10,0,301,19,0,0
CURclassMarker,1607,84,15,330,320,0.813,35,i,10,0,301,19,0,0
CURclassMarker,1607,85,15,330,320,0.822,35,i,10,0,301,19,0,0
CURclassMarker,1607,86,15,330,320,0.831,35,i,10,0,301,19,0,0
CURclassMarker,1607,87,15,330,320,0.84,35,i,10,0,301,19,0,0
CURclassMarker,1607,88,15,330,320,0.849,35,i,10,0,301,19,0,0
CURclassMarker,1607,89,15,330,320,0.858,35,i,10,0,301,19,0,0
CURclassMarker,1607,90,15,330,320,0.867,35,i,10,0,301,19,0,0
CURclassMarker,1607,91,15,330,320,0.877,35,i,10,0,301,19,0,0
CURclassMarker,1607,92,15,330,320,0.886,35,i,10,0,301,19,0,0
CURclassMarker,1607,93,15,330,320,0.895,35,i,10,0,301,19,0,0
CURclassMarker,1607,94,15,330,320,0.906,35,i,10,0,301,19,0,0
CURclassMarker,1607,95,15,330,320,0.915,35,i,10,0,301,19,0,0
CURclassMarker,1607,96,15,330,320,0.924,35,i,10,0,301,19,0,0
CURclassMarker,1607,97,15,330,320,0.949,35,i,10,0,301,19,0,0
CURclassMarker,1607,98,15,330,320,0.963,35,i,10,0,301,19,0,0
CURclassMarker,1607,99,15,330,320,0.972,35,i,10,0,301,19,0,0
CURclassMarker,1607,100,15,330,320,0.982,35,i,10,0,301,19,0,0
CURclassMarker,1607,101,15,330,320,0.992,35,i,10,0,301,19,0,0
CURclassMarker,1607,102,16,330,320,1.001,35,i,10,0,301,19,0,0
CURclassMarker,1607,103,17,330,320,1.01,35,i,10,0,301,19,0,0
CURclassMarker,1607,104,17,330,320,1.019,35,i,10,0,301,19,0,0
CURclassMarker,1607,105,17,330,320,1.028,35,i,10,0,301,19,0,0
CURclassMarker,1607,106,17,330,320,1.037,35,i,10,0,301,19,0,0
CURclassMarker,1607,107,18,330,320,1.046,35,i,10,0,301,19,0,0
CURclassMarker,1607,108,18,330,320,1.057,35,i,10,0,301,19,0,0
CURclassMarker,1607,109,18,330,320,1.066,35,i,10,0,301,19,0,0
CURclassMarker,1607,110,18,330,320,1.075,35,i,10,0,301,19,0,0
CURclassMarker,1607,111,19,330,320,1.084,35,i,10,0,301,19,0,0
CURclassMarker,1607,112,19,330,320,1.093,35,i,10,0,301,19,0,0
CURclassMarker,1607,113,19,330,320,1.102,35,i,10,0,301,19,0,0
CURclassMarker,1607,114,19,330,320,1.111,35,i,10,0,301,19,0,0
CURclassMarker,1607,115,20,330,320,1.12,35,i,10,0,301,19,0,0
CURclassMarker,1607,116,20,330,320,1.13,35,i,10,0,301,19,0,0
CURclassMarker,1607,117,20,330,320,1.138,35,i,10,0,301,19,0,0
CURclassMarker,1607,118,20,330,320,1.148,35,i,10,0,301,19,0,0
CURclassMarker,1607,119,21,330,320,1.156,35,i,10,0,301,19,0,0
CURclassMarker,1607,120,21,330,320,1.166,35,i,10,0,301,19,0,0
CURclassMarker,1607,121,21,330,320,1.175,35,i,10,0,301,19,0,0
CURclassMarker,1607,122,21,330,320,1.184,35,i,10,0,301,19,0,0
CURclassMarker,1607,123,22,330,320,1.193,35,i,10,0,301,19,0,0
CURclassMarker,1607,124,22,330,320,1.202,35,i,10,0,301,19,0,0
CURclassMarker,1607,125,22,330,320,1.211,35,i,10,0,301,19,0,0
CURclassMarker,1607,126,22,330,320,1.22,35,i,10,0,301,19,0,0
CURclassMarker,1607,127,23,330,320,1.229,35,i,10,0,301,19,0,0
CURclassMarker,1607,128,23,330,320,1.238,35,i,10,0,301,19,0,0
CURclassMarker,1607,129,23,330,320,1.247,35,i,10,0,301,19,0,0
CURclassMarker,1607,130,23,330,320,1.256,35,i,10,0,301,19,0,0
CURclassMarker,1607,131,24,330,320,1.265,35,i,10,0,301,19,0,0
CURclassMarker,1607,132,24,330,320,1.274,35,i,10,0,301,19,0,0
